age,declared_income,bank_salary_estimate,normalized_income,avg_monthly_expense,total_assets,total_liabilities,per_capita_income,wealth_index,debt_to_income_ratio,confidence_score,mismatch_pct,credit_score,loan_count,family_size,income_source,risk_band,gender
46,0.0,,,0,,7164,,,,0.45,,819,4,,,,
22,100307.0,202.0,100307.0,0,,36451,,,0.363,0.3,0.0,515,5,,declared,,
26,12291.0,,12291.0,0,,3413,,,0.278,0.35,0.0,616,5,,declared,,
21,20027.0,,20027.0,0,,8696,,,0.434,0.43,0.0,688,2,,declared,,
63,145427.0,,145427.0,0,,20982,,,0.144,0.3,0.0,329,3,,declared,,
51,,,,0,,6260,,,,0.15,,469,2,,,,
31,59193.0,,59193.0,0,,8514,,,0.144,0.3,0.0,455,3,,declared,,
17,113737.0,,113737.0,0,,120336,,,1.058,0.35,0.0,556,5,,declared,,
14,,,,0,,9670,,,,0.15,,351,2,,,,
52,60372.0,,60372.0,0,,24450,,,0.405,0.3,0.0,520,3,,declared,,
37,18122.0,,18122.0,0,,2804,,,0.155,0.35,0.0,553,5,,declared,,
23,23432.0,,23432.0,0,,22685,,,0.968,0.6,0.0,772,2,,declared,,
33,132685.0,,132685.0,0,,149631,,,1.128,0.35,0.0,602,2,,declared,,
8,67519.0,,67519.0,0,,12325,,,0.183,0.6,0.0,830,1,,declared,,
7,95973.0,,95973.0,0,,22811,,,0.238,0.6,0.0,827,4,,declared,,
59,114806.0,,114806.0,0,,42833,,,0.373,0.3,0.0,411,4,,declared,,
66,29010.0,,29010.0,0,,3066,,,0.106,0.3,0.0,443,3,,declared,,
47,,,,0,,11781,,,,0.15,,419,5,,,,
62,56622.0,,56622.0,0,,34461,,,0.609,0.3,0.0,479,5,,declared,,
66,11012.0,,11012.0,0,,10239,,,0.93,0.35,0.0,567,4,,declared,,
44,42123.0,,42123.0,0,,16135,,,0.383,0.35,0.0,634,0,,declared,,
50,36152.0,,36152.0,0,,31973,,,0.884,0.6,0.0,811,1,,declared,,
11,53202.0,,53202.0,0,,59365,,,1.116,0.3,0.0,491,2,,declared,,
38,52226.0,,52226.0,0,,29099,,,0.557,0.3,0.0,442,1,,declared,,
39,53713.0,,53713.0,0,,63598,,,1.184,0.6,0.0,866,4,,declared,,
8,8894.0,,8894.0,0,,8557,,,0.962,0.52,0.0,744,0,,declared,,
42,128552.0,,128552.0,0,,85994,,,0.669,0.3,0.0,538,4,,declared,,
70,23926.0,,23926.0,0,,27988,,,1.17,0.3,0.0,478,0,,declared,,
21,89136.0,,89136.0,0,,21730,,,0.244,0.3,0.0,413,4,,declared,,
7,15157.0,,15157.0,0,,14717,,,0.971,0.3,0.0,320,2,,declared,,
40,51637.0,,51637.0,0,,45180,,,0.875,0.3,0.0,437,2,,declared,,
46,51750.0,,51750.0,0,,48409,,,0.935,0.35,0.0,581,3,,declared,,
48,44526.0,,44526.0,0,,31951,,,0.718,0.3,0.0,505,2,,declared,,
57,23802.0,,23802.0,0,,2503,,,0.105,0.35,0.0,597,2,,declared,,
60,95168.0,,95168.0,0,,101479,,,1.066,0.3,0.0,355,1,,declared,,
15,13592.0,,13592.0,0,,6668,,,0.491,0.6,0.0,855,5,,declared,,
20,,,,0,,12480,,,,0.15,,497,2,,,,
22,115602.0,,115602.0,0,,117825,,,1.019,0.6,0.0,819,5,,declared,,
34,29741.0,,29741.0,0,,14941,,,0.502,0.3,0.0,398,1,,declared,,
67,148941.0,,148941.0,0,,121261,,,0.814,0.6,0.0,795,1,,declared,,
18,19488.0,,19488.0,0,,6877,,,0.353,0.52,0.0,734,1,,declared,,
34,,,,0,,8845,,,,0.15,,329,0,,,,
28,56962.0,,56962.0,0,,32951,,,0.578,0.43,0.0,650,3,,declared,,
29,,,,0,,15405,,,,0.45,,871,5,,,,
7,72730.0,,72730.0,0,,15371,,,0.211,0.3,0.0,384,3,,declared,,
34,32984.0,,32984.0,0,,20999,,,0.637,0.6,0.0,868,2,,declared,,
11,47351.0,,47351.0,0,,17254,,,0.364,0.6,0.0,831,4,,declared,,
35,120470.0,,120470.0,0,,34109,,,0.283,0.3,0.0,448,1,,declared,,
43,61601.0,,61601.0,0,,37238,,,0.605,0.43,0.0,668,0,,declared,,
